layerCenter,GroupCount,mean_temp,median_temp
4.99,132,19.2345681551731,19.8055000305176
14.97,138,18.9700941970383,19.664999961853
24.95,137,18.8228246869832,19.3020000457764
34.93,141,18.5317163129225,19.1079998016357
44.91,138,17.8762536187103,18.4195003509521
54.89,131,17.2992976312419,17.4729995727539
64.87,131,16.508030469181,16.9370002746582
74.85,126,16.1314523787726,16.3100004196167
84.83,132,15.6710908629678,15.7049999237061
94.81,132,15.33102275386,15.3115000724792
104.79,125,15.0665359802246,15.0799999237061
114.77,134,14.8226119012975,14.875
124.75,128,14.5573359727859,14.6619997024536
134.73,121,14.2989834478079,14.4460000991821
144.71,128,14.1575703248382,14.3959999084473
154.69,119,13.9881428870834,14.2390003204346
164.67,119,13.7905546236439,14.1099996566772
174.65,130,13.621761571444,13.9159998893738
184.63,119,13.5070756463444,13.7130002975464
194.61,120,13.319624988238,13.522500038147
204.59,126,13.1942539442153,13.4445004463196
214.57,122,13.0739590222718,13.2739996910095
224.55,120,12.9293999910355,13.1900000572205
234.53,129,12.801108508147,13.076000213623
244.51,120,12.7071333090464,12.9329996109009
254.49,121,12.5540909018398,12.8000001907349
264.47,128,12.4498593658209,12.7044997215271
274.45,120,12.3236083189646,12.5635004043579
284.43,123,12.1671544904631,12.4200000762939
294.41,126,12.0861110687256,12.2785000801086
304.39,120,11.9073333104451,12.1985001564026
314.37,120,11.7883083422979,12.0750002861023
324.35,128,11.6610390692949,11.8654999732971
334.33,120,11.523299964269,11.7065000534058
344.31,122,11.398081904552,11.570999622345
354.29,108,11.2993241151174,11.441999912262
364.27,83,11.1740240418767,11.2980003356934
374.25,108,11.0262963242001,11.1785001754761
384.23,88,10.880261388692,10.9160003662109
394.21,93,10.7689677002609,10.7650003433228
404.19,98,10.5365101950509,10.628999710083
414.17,77,10.5261818031212,10.5430002212524
424.15,103,10.3547766324386,10.4119997024536
434.13,72,10.2785971826977,10.3284997940063
444.11,97,10.1462473918482,10.2370004653931
454.09,100,9.93731996536255,10.0355000495911
464.07,70,9.89661429268973,9.94099998474121
474.05,107,9.75699999622095,9.80599975585938
484.03,74,9.61009461170918,9.71000003814697
494.01,89,9.51546065726977,9.61499977111816
503.99,101,9.340257399153,9.40799999237061
513.97,76,9.28198682634454,9.32450008392334
523.95,100,9.19903998374939,9.25699996948242
533.93,75,9.06608000437419,9.13500022888184
543.91,88,9.0032045732845,9.08050012588501
553.89,102,8.88503920330721,8.97900009155273
563.87,70,8.82587144715445,8.88849973678589
573.85,108,8.77454624794148,8.83899974822998
583.83,73,8.63190406642548,8.74300003051758
593.81,89,8.59037077292967,8.68599987030029
603.79,101,8.45349506340404,8.55900001525879
613.77,70,8.40071430887495,8.54400014877319
623.75,99,8.35688890110363,8.44600009918213
633.73,82,8.21226826528224,8.33150005340576
643.71,90,8.16864442295498,8.26900005340576
653.69,100,8.00273998737335,8.11700010299683
663.67,70,7.9148428099496,8.01900005340576
673.65,70,7.81095715250288,7.93400001525879
683.63,70,7.71718573570251,7.85350012779236
693.61,94,7.69491489390109,7.78550004959106
703.59,102,7.5406274468291,7.62150001525879
713.57,70,7.43989998272487,7.50999999046326
723.55,70,7.35077147483826,7.45650005340576
733.53,70,7.26048570360456,7.33499979972839
743.51,84,7.22259523187365,7.25300002098083
753.49,112,7.13098215631076,7.1729998588562
763.47,70,7.0000428540366,7.05400013923645
773.45,70,6.91561427116394,6.97800016403198
783.43,70,6.82377142224993,6.89999985694885
793.41,83,6.79808433371854,6.8730001449585
803.39,107,6.71345793198202,6.77600002288818
813.37,76,6.60510524950529,6.70649981498718
823.35,70,6.52397141456604,6.62049984931946
833.33,70,6.45732858521598,6.55849981307983
843.31,84,6.42480951263791,6.50950002670288
853.29,106,6.34626415090741,6.37800002098083
863.27,70,6.23235714776175,6.3125
873.25,76,6.17440790879099,6.29200005531311
883.23,69,6.08517393167468,6.16200017929077
893.21,80,6.04612500667572,6.13350009918213
903.19,109,5.99945869795773,6.06500005722046
913.17,69,5.88840579986572,6.01200008392334
923.15,70,5.82982856886728,5.93849992752075
933.13,76,5.77942105343467,5.90399980545044
943.11,81,5.72893823812037,5.83300018310547
953.09,108,5.668453724296,5.75850009918213
963.07,70,5.58287141663688,5.71499991416931
973.05,69,5.5146086803381,5.64799976348877
983.03,70,5.4456714289529,5.56649994850159
993.01,86,5.42396512142448,5.52600002288818
1002.99,109,5.34399081588885,5.42600011825562
1012.97,69,5.24489854729694,5.36700010299683
1022.95,70,5.18932856151036,5.3125
1032.93,69,5.12876811925916,5.24100017547607
1042.91,78,5.07266664505005,5.15849995613098
1052.89,115,5.045130443573,5.09100008010864
1062.87,70,4.9357000214713,5.03750014305115
1072.85,69,4.87443480284318,4.95800018310547
1082.83,70,4.82285711424691,4.90499997138977
1092.81,76,4.78315791330839,4.85999989509583
1102.79,109,4.75355962438321,4.80700016021729
1112.77,76,4.67975000958694,4.74499988555908
1122.75,70,4.61394283430917,4.67600011825562
1132.73,70,4.55844283103943,4.61549997329712
1142.71,79,4.51269619374336,4.55499982833862
1152.69,108,4.49331480926937,4.51900005340576
1162.67,70,4.40130001476833,4.46000003814697
1172.65,76,4.36711845586174,4.41250014305115
1182.63,70,4.30752856731415,4.37600016593933
1192.61,79,4.26030379911012,4.30700016021729
1202.59,109,4.24076146816989,4.27199983596802
1212.57,70,4.15684283801488,4.1965000629425
1222.55,70,4.10942856924874,4.15999984741211
1232.53,76,4.0835921011473,4.15100002288818
1242.51,79,4.03221521498282,4.08900022506714
1252.49,109,4.01592662793781,4.04500007629395
1262.47,70,3.93688574859074,3.98950004577637
1272.45,70,3.9006571497236,3.94599997997284
1282.43,70,3.86188569068909,3.9210000038147
1292.41,86,3.84761627330336,3.9135000705719
1302.39,108,3.82119444123021,3.86899995803833
1312.37,70,3.75011427743094,3.82949995994568
1322.35,70,3.71357143947056,3.79550004005432
1332.33,70,3.67474286215646,3.74749994277954
1342.31,79,3.65164556382578,3.69300007820129
1352.29,115,3.64525217387987,3.67899990081787
1362.27,70,3.57357142652784,3.62249994277954
1372.25,70,3.53858570371355,3.56599998474121
1382.23,70,3.50898570333208,3.54549992084503
1392.21,79,3.47881012928637,3.50600004196167
1402.19,109,3.4654954157838,3.49000000953674
1412.17,76,3.41832894400546,3.4650000333786
1422.15,70,3.37127143996102,3.42149996757507
1432.13,70,3.34037141459329,3.38999998569489
1442.11,79,3.31960758981825,3.36299991607666
1452.09,109,3.30948622948533,3.32800006866455
1462.07,70,3.25632857254573,3.28600001335144
1472.05,76,3.23821053065752,3.26800000667572
1482.03,70,3.19924286093031,3.23849999904633
1492.01,78,3.17432052049881,3.22000002861023
1501.99,110,3.16710909063166,3.19899988174438
1511.97,70,3.11544285501753,3.16399991512299
1521.95,70,3.08914285387312,3.13100004196167
1531.93,76,3.07556578360106,3.12449991703033
1541.91,71,3.04538029348347,3.06399989128113
1551.89,82,3.0208414560411,3.03699994087219
1561.87,70,2.99262856074742,3.01250004768372
1571.85,70,2.97187142712729,2.99150002002716
1581.83,70,2.94701428413391,2.97450006008148
1591.81,83,2.93531325351761,2.96399998664856
1601.79,111,2.92855855580923,2.95300006866455
1611.77,70,2.87910000596728,2.9080001115799
1621.75,70,2.85761429922921,2.87950003147125
1631.73,70,2.83734285490853,2.86450004577637
1641.71,71,2.81991548941169,2.85400009155273
1651.69,88,2.80656818639148,2.83799993991852
1661.67,70,2.77694284915924,2.80449998378754
1671.65,70,2.75898572717394,2.78750002384186
1681.63,70,2.73989999975477,2.77250003814697
1691.61,75,2.72914666175842,2.75999999046326
1701.59,113,2.72530973696076,2.73799991607666
1711.57,76,2.69252631225084,2.71700000762939
1721.55,70,2.66767143862588,2.69599997997284
1731.53,70,2.65049999782017,2.68099999427795
1741.51,70,2.63397144249507,2.66599988937378
1751.49,83,2.6251445850694,2.65400004386902
1761.47,70,2.60235712868827,2.6324999332428
1771.45,76,2.59489474484795,2.62000000476837
1781.43,70,2.57601429053715,2.60899996757507
1791.41,75,2.5686000029246,2.60400009155273
1801.39,113,2.5751150435051,2.59500002861023
1811.37,70,2.5416714157377,2.57099997997284
1821.35,72,2.53249999218517,2.56599998474121
1831.33,74,2.51940541331832,2.54799997806549
1841.31,70,2.50257142271314,2.53350007534027
1851.29,83,2.49944577159652,2.52600002288818
1861.27,70,2.48048572199685,2.50850009918213
1871.25,70,2.47035712855203,2.49600005149841
1881.23,69,2.45902899037237,2.48000001907349
1891.21,74,2.45259457987708,2.47650003433228
1901.19,111,2.45626126323734,2.47300004959106
1911.17,70,2.42755714144026,2.44400000572205
1921.15,70,2.41614285877773,2.43250000476837
1931.13,70,2.40604284831456,2.42350006103516
1941.11,70,2.39672857352666,2.41299998760223
1951.09,75,2.39706667900085,2.41499996185303
1961.07,73,2.38119178928741,2.40499997138977
1971.05,71,2.3772253419312,2.39599990844727
1981.03,59,2.37922034021151,2.39499998092651
1991.01,38,2.37705265220843,2.38699996471405
2000.99,18,2.39294448163774,2.38100004196167
